hari,jam,area,jumlah,kepadatan
senin,07.00,FST,217,renggang
senin,07.00,Danau,248,penuh
senin,07.00,Masjid,142,sepi
senin,07.00,FISIP,266,renggang
senin,07.00,FPK,152,renggang
senin,12.00,FST,184,sepi
senin,12.00,Danau,229,renggang
senin,12.00,Masjid,200,penuh
senin,12.00,FISIP,228,sepi
senin,12.00,FPK,140,sepi
senin,16.00,FST,250,penuh
senin,16.00,Danau,205,renggang
senin,16.00,Masjid,179,renggang
senin,16.00,FISIP,274,renggang
senin,16.00,FPK,100,sepi
selasa,07.00,FST,217,renggang
selasa,07.00,Danau,248,penuh
selasa,07.00,Masjid,141,sepi
selasa,07.00,FISIP,250,renggang
selasa,07.00,FPK,153,renggang
selasa,12.00,FST,200,renggang
selasa,12.00,Danau,231,penuh
selasa,12.00,Masjid,189,penuh
selasa,12.00,FISIP,230,sepi
selasa,12.00,FPK,150,renggang
selasa,16.00,FST,240,penuh
selasa,16.00,Danau,203,renggang
selasa,16.00,Masjid,173,renggang
selasa,16.00,FISIP,286,penuh
selasa,16.00,FPK,113,sepi
rabu,07.00,FST,212,renggang
rabu,07.00,Danau,251,penuh
rabu,07.00,Masjid,150,renggang
rabu,07.00,FISIP,265,renggang
rabu,07.00,FPK,168,renggang
rabu,12.00,FST,189,sepi
rabu,12.00,Danau,238,penuh
rabu,12.00,Masjid,200,penuh
rabu,12.00,FISIP,226,sepi
rabu,12.00,FPK,130,sepi
rabu,16.00,FST,235,penuh
rabu,16.00,Danau,199,sepi
rabu,16.00,Masjid,172,renggang
rabu,16.00,FISIP,283,penuh
rabu,16.00,FPK,110,sepi
kamis,07.00,FST,216,renggang
kamis,07.00,Danau,244,penuh
kamis,07.00,Masjid,138,sepi
kamis,07.00,FISIP,263,renggang
kamis,07.00,FPK,166,renggang
kamis,12.00,FST,194,sepi
kamis,12.00,Danau,226,renggang
kamis,12.00,Masjid,199,penuh
kamis,12.00,FISIP,227,sepi
kamis,12.00,FPK,137,sepi
kamis,16.00,FST,235,penuh
kamis,16.00,Danau,203,renggang
kamis,16.00,Masjid,172,renggang
kamis,16.00,FISIP,287,penuh
kamis,16.00,FPK,118,sepi
jumat,07.00,FST,220,renggang
jumat,07.00,Danau,256,penuh
jumat,07.00,Masjid,149,sepi
jumat,07.00,FISIP,268,renggang
jumat,07.00,FPK,170,renggang
jumat,12.00,FST,193,sepi
jumat,12.00,Danau,222,renggang
jumat,12.00,Masjid,185,penuh
jumat,12.00,FISIP,227,sepi
jumat,12.00,FPK,143,sepi
jumat,16.00,FST,248,penuh
jumat,16.00,Danau,198,sepi
jumat,16.00,Masjid,172,renggang
jumat,16.00,FISIP,286,penuh
jumat,16.00,FPK,110,sepi
senin,07.00,FST,213,renggang
senin,07.00,Danau,240,penuh
senin,07.00,Masjid,149,sepi
senin,07.00,FISIP,252,renggang
senin,07.00,FPK,166,renggang
senin,12.00,FST,185,sepi
senin,12.00,Danau,239,penuh
senin,12.00,Masjid,190,penuh
senin,12.00,FISIP,233,sepi
senin,12.00,FPK,143,sepi
senin,16.00,FST,241,penuh
senin,16.00,Danau,204,renggang
senin,16.00,Masjid,178,renggang
senin,16.00,FISIP,276,renggang
senin,16.00,FPK,103,sepi
selasa,07.00,FST,220,renggang
selasa,07.00,Danau,249,penuh
selasa,07.00,Masjid,149,sepi
selasa,07.00,FISIP,257,renggang
selasa,07.00,FPK,152,renggang
selasa,12.00,FST,188,sepi
selasa,12.00,Danau,237,penuh
selasa,12.00,Masjid,186,penuh
selasa,12.00,FISIP,238,sepi
selasa,12.00,FPK,141,sepi
selasa,16.00,FST,247,penuh
selasa,16.00,Danau,208,renggang
selasa,16.00,Masjid,170,renggang
selasa,16.00,FISIP,287,penuh
selasa,16.00,FPK,109,sepi
rabu,07.00,FST,230,penuh
rabu,07.00,Danau,243,penuh
rabu,07.00,Masjid,137,sepi
rabu,07.00,FISIP,270,renggang
rabu,07.00,FPK,155,renggang
rabu,12.00,FST,193,sepi
rabu,12.00,Danau,231,penuh
rabu,12.00,Masjid,193,penuh
rabu,12.00,FISIP,236,sepi
rabu,12.00,FPK,147,sepi
rabu,16.00,FST,230,penuh
rabu,16.00,Danau,205,renggang
rabu,16.00,Masjid,171,renggang
rabu,16.00,FISIP,282,penuh
rabu,16.00,FPK,104,sepi
kamis,07.00,FST,226,renggang
kamis,07.00,Danau,250,penuh
kamis,07.00,Masjid,135,sepi
kamis,07.00,FISIP,257,renggang
kamis,07.00,FPK,163,renggang
kamis,12.00,FST,196,sepi
kamis,12.00,Danau,226,renggang
kamis,12.00,Masjid,180,penuh
kamis,12.00,FISIP,220,sepi
kamis,12.00,FPK,138,sepi
kamis,16.00,FST,234,penuh
kamis,16.00,Danau,206,renggang
kamis,16.00,Masjid,163,renggang
